date	time	sl
20160111	8:00	-0.143
20160111	9:00	-0.15
20160111	10:00	-0.044
20160111	11:00	0.113
20160111	12:00	0.305
20160111	13:00	0.5
20160111	14:00	0.655
20160111	15:00	0.697
20160111	16:00	0.619
20160111	17:00	0.44
20160111	18:00	0.192
20160111	19:00	-0.054
20160111	20:00	-0.238
20160111	21:00	-0.357
20160111	22:00	-0.355
20160111	23:00	-0.251
20160112	0:00	-0.051
20160112	1:00	0.134
20160112	2:00	0.287
20160112	3:00	0.349
20160112	4:00	0.299
20160112	5:00	0.16
20160112	6:00	-0.034
20160112	7:00	-0.25
20160112	8:00	-0.404
20160112	9:00	-0.481
20160112	10:00	-0.469
20160112	11:00	-0.34
20160112	12:00	-0.163
20160112	13:00	0.046
20160112	14:00	0.236
20160112	15:00	0.328
20160112	16:00	0.33
20160112	17:00	0.246
20160112	18:00	0.075
20160112	19:00	-0.152
20160112	20:00	-0.395
20160112	21:00	-0.593
20160112	22:00	-0.705
20160112	23:00	-0.651
20160113	0:00	-0.466
20160113	1:00	-0.319
20160113	2:00	-0.136
20160113	3:00	-0.001
20160113	4:00	0.068
20160113	5:00	0.031
20160113	6:00	-0.092
20160113	7:00	-0.213
20160113	8:00	-0.321
20160113	9:00	-0.422
20160113	10:00	-0.493
20160113	11:00	-0.476
20160113	12:00	-0.395
20160113	13:00	-0.196
20160113	14:00	0.049
20160113	15:00	0.234
20160113	16:00	0.318
20160113	17:00	0.312
20160113	18:00	0.221
20160113	19:00	0.046
20160113	20:00	-0.184
20160113	21:00	-0.407
20160113	22:00	-0.554
20160113	23:00	-0.603
20160114	0:00	-0.535
20160114	1:00	-0.374
20160114	2:00	-0.181
20160114	3:00	-0.016
20160114	4:00	0.143
20160114	5:00	0.18
20160114	6:00	0.145
20160114	7:00	0.012
20160114	8:00	-0.213
20160114	9:00	-0.434
20160114	10:00	-0.592
20160114	11:00	-0.668
20160114	12:00	-0.674
20160114	13:00	-0.56
20160114	14:00	-0.362
20160114	15:00	-0.141
20160114	16:00	0.041
20160114	17:00	0.161
20160114	18:00	0.169
20160114	19:00	0.085
20160114	20:00	-0.116
20160114	21:00	-0.33
20160114	22:00	-0.532
20160114	23:00	-0.636
20160115	0:00	-0.624
20160115	1:00	-0.521
20160115	2:00	-0.358
20160115	3:00	-0.135
20160115	4:00	0.077
20160115	5:00	0.203
20160115	6:00	0.235
20160115	7:00	0.165
20160115	8:00	0.034
20160115	9:00	-0.16
20160115	10:00	-0.354
20160115	11:00	-0.492
20160115	12:00	-0.582
20160115	13:00	-0.527
20160115	14:00	-0.387
20160115	15:00	-0.194
20160115	16:00	0.011
20160115	17:00	0.177
20160115	18:00	0.26
20160115	19:00	0.247
20160115	20:00	0.136
20160115	21:00	-0.042
20160115	22:00	-0.222
20160115	23:00	-0.411
20160116	0:00	-0.397
20160116	1:00	-0.279
20160116	2:00	-0.093
20160116	3:00	0.212
20160116	4:00	0.515
20160116	5:00	0.665
20160116	6:00	0.711
20160116	7:00	0.582
20160116	8:00	0.518
20160116	9:00	0.328
20160116	10:00	0.128
20160116	11:00	-0.027
20160116	12:00	-0.162
20160116	13:00	-0.186
20160116	14:00	-0.151
20160116	15:00	-0.009
20160116	16:00	0.13
20160116	17:00	0.299
20160116	18:00	0.465
20160116	19:00	0.538
20160116	20:00	0.502
20160116	21:00	0.395
20160116	22:00	0.235
20160116	23:00	0.036
20160117	0:00	-0.127
20160117	1:00	-0.202
20160117	2:00	-0.194
20160117	3:00	-0.06
20160117	4:00	0.131
20160117	5:00	0.369
